,constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,tvp,spoilt,turnout,electorate
TRUE,Ballybrit,1,neill bairead,Néill Bairéad,FALSE,IND,7,running,1,22607,1036,0,1036,3158
,Ballybrit,1,aj cahill,A.J. Cahill,FALSE,IPP,40,running,1,22607,1036,0,1036,3158
,Ballybrit,1,mike cubbard,Mike Cubbard,FALSE,IND,139,running,1,22607,1036,0,1036,3158
,Ballybrit,1,patrick feeney,Patrick Feeney,FALSE,IND,1,running,1,22607,1036,0,1036,3158
,Ballybrit,1,sheila garrity,Sheila Garrity,FALSE,IND,35,running,1,22607,1036,0,1036,3158
,Ballybrit,1,cillian keane,Cillian Keane,FALSE,FF,51,running,1,22607,1036,0,1036,3158
,Ballybrit,1,sean kyne,Seán Kyne,FALSE,FG,81,running,1,22607,1036,0,1036,3158
,Ballybrit,1,mark lohan,Mark Lohan,FALSE,SF,152,running,1,22607,1036,0,1036,3158
,Ballybrit,1,niall murphy,Niall Murphy,FALSE,GP,13,running,1,22607,1036,0,1036,3158
,Ballybrit,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,61,running,1,22607,1036,0,1036,3158
,Ballybrit,1,orla nugent,Orla Nugent,FALSE,AON,26,running,1,22607,1036,0,1036,3158
,Ballybrit,1,helen ogbu,Helen Ogbu,FALSE,LAB,192,running,1,22607,1036,0,1036,3158
,Ballybrit,1,john oleary,John O'Leary,FALSE,IND,0,running,1,22607,1036,0,1036,3158
,Ballybrit,1,denman rooke,Denman Rooke,FALSE,PBPS,26,running,1,22607,1036,0,1036,3158
,Ballybrit,1,michael ryan,Michael Ryan,FALSE,IND,1,running,1,22607,1036,0,1036,3158
,Ballybrit,1,noel thomas,Noel Thomas,FALSE,INDIRL,181,running,1,22607,1036,0,1036,3158
,Ballybrit,1,thomas welby,Thomas Welby,FALSE,IND,30,running,1,22607,1036,0,1036,3158
TRUE,Ballynacourty,1,neill bairead,Néill Bairéad,FALSE,IND,2,running,1,22607,1300,0,1300,2591
,Ballynacourty,1,aj cahill,A.J. Cahill,FALSE,IPP,20,running,1,22607,1300,0,1300,2591
,Ballynacourty,1,mike cubbard,Mike Cubbard,FALSE,IND,44,running,1,22607,1300,0,1300,2591
,Ballynacourty,1,patrick feeney,Patrick Feeney,FALSE,IND,1,running,1,22607,1300,0,1300,2591
,Ballynacourty,1,sheila garrity,Sheila Garrity,FALSE,IND,39,running,1,22607,1300,0,1300,2591
,Ballynacourty,1,cillian keane,Cillian Keane,FALSE,FF,586,running,1,22607,1300,0,1300,2591
